name,description_text,image_url,type,rarity,transmission,incubation_period,stages,symptoms,mechanical_effects,duration,mortality_rate,sequelae,natural_remedies,magical_remedies,alchemical_remedies,prevention,immunity_after_recovery,immunity_duration,affected_species,origin,historical_outbreaks,cultural_impact,warnings,notes,id,created_date,updated_date,created_by_id,created_by,is_sample
Châtiment Divin,Maladie envoyée par les dieux comme punition pour un sacrilège grave. Le corps se consume de l'intérieur par une flamme sacrée invisible.,,Divine,Très rare,,Immédiat après l'offense divine,,"Marque divine lumineuse sur le front, fièvre intense, sensation de brûlure interne, sueurs de sang, visions de jugement, flammes sacrées sous la peau",Dégâts radiants progressifs. Peut mener à l'immolation complète et destruction de l'âme,2-3 semaines jusqu'à la mort ou l'expiation,90% sans expiation du sacrilège,,,,,"Ne PAS offenser les dieux ! Respecter les temples, les clercs, les rites sacrés. Ne pas profaner les lieux saints.",FALSE,,,Existe depuis que les dieux marchent parmi les mortels,Cas individuels célèbres: Le Roi Blasphémateur brûla pendant 7 jours avant de se consumer complètement en 1342,Terreur sacrée. Les gens sont extrêmement prudents avec les choses divines. Les temples ont un pouvoir énorme.,SEULE L'EXPIATION SINCÈRE peut guérir. Aucune magie mortelle n'est assez puissante. Le dieu offensé DOIT pardonner. Consulter immédiatement un Grand Prêtre du dieu concerné. Être prêt à accomplir TOUT ce qui est demandé.,,68e2a25789e889bc41e430a2,2025-10-05T16:52:39.759000,2025-10-05T16:52:39.759000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Fièvre des Plans,"Maladie contractée lors de voyages planaires. L'essence du plan étranger infecte le corps et l'esprit, les transformant progressivement.",,Planaire,Rare,,1d4 jours après retour du voyage planaire,,"Nausées, vertiges, transformations physiques (flammes, givre, énergie planaire), téléportations involontaires, instabilité corporelle",Varie selon le plan visité. Risque d'être téléporté définitivement vers ce plan,2-3 semaines sans traitement,25% (souvent par téléportation vers un plan hostile),,,,,"Sorts de protection planaire avant voyage, limiter le temps dans les plans étrangers, rituel de purification au retour",FALSE,,,Inhérente aux voyages planaires depuis toujours,Affecte environ 30% des voyageurs planaires novices,Les mages planaires sont facilement reconnaissables à leurs marques. Guildes de voyageurs planaires offrent des assurances.,"Plus on reste longtemps dans un plan étranger, plus le risque augmente. Voyages de plus de 24h sont particulièrement risqués.",,68e2a25789e889bc41e430a3,2025-10-05T16:52:39.759000,2025-10-05T16:52:39.759000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Pourriture du Tombeau,Infection nécrotique causée par contact prolongé avec des morts-vivants puissants ou de l'énergie négative concentrée. La chair meurt et pourrit sur le vivant.,,Nécrotique,Peu commune,,1d3 jours,,"Noircissement de la peau, chair froide et morte au toucher, odeur de pourriture, perte de morceaux de chair, nécrose progressive",Dégâts nécrotiques continus. Risque de septicémie et de mort si organes vitaux affectés,1-2 semaines jusqu'à la mort,"70% sans traitement, 30% avec traitement (souvent avec amputation)",,,,,"Éviter le contact avec morts-vivants, porter des protections lors d'exploration de tombeaux, bénédictions de protection",FALSE,,,Endémique aux cryptes anciennes et lieux de mort,Affecte régulièrement les explorateurs de tombeaux et les guerriers combattant des morts-vivants,Les aventuriers portent toujours de l'eau bénite et des outils d'amputation d'urgence,AMPUTATION PRÉCOCE RECOMMANDÉE si stade 2 atteint et aucun clerc disponible. Vaut mieux perdre un doigt que mourir.,,68e2a25789e889bc41e430a4,2025-10-05T16:52:39.759000,2025-10-05T16:52:39.759000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Folie de la Lune Noire,Maladie psychique déclenchée par exposition à la Lune Noire (éclipse lunaire totale où la lune devient complètement invisible). Provoque une folie progressive et violente.,,Psychique,Rare,,Immédiat pendant la Lune Noire,,"Anxiété, paranoïa croissante, hallucinations (surtout auditives), insomnie, comportement erratique, violence soudaine, psychose",Progression vers la folie violente. Extrêmement dangereux au stade 3 (attaque tout le monde),Jusqu'à la prochaine pleine lune (1-30 jours) ou traitement,30% (souvent tués en légitime défense pendant leur folie),,,,,NE PAS REGARDER la Lune Noire. Rester à l'intérieur portes closes pendant l'éclipse lunaire totale,FALSE,,,"Malédiction ancienne liée à Séléné, Déesse de la Lune","À chaque éclipse lunaire totale (tous les 18 ans environ), 5-10% des observateurs sont affectés","Lors des éclipses lunaires, les gens restent enfermés et barricadés. Les milices patrouillent pour maîtriser les affligés. Commerce d'amulettes lunaires florissant.",IMMOBILISATION IMMÉDIATE au stade 3 recommandée. La personne est dangereuse pour elle-même et les autres. Attendre la pleine lune pour guérison naturelle (1-30 jours).,,68e2a25789e889bc41e430a5,2025-10-05T16:52:39.759000,2025-10-05T16:52:39.759000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Lèpre de Pierre,Maladie alchimique rare transformant progressivement la chair en pierre. Contractée par exposition à certaines poudres minérales maudites ou dans les mines anciennes.,,Alchimique,Rare,,1d6 semaines,,"Peau devient grise et rugueuse, plaques de pierre sur le corps, rigidité croissante, craquements, perte de mobilité, augmentation du poids",Augmente la résistance mais réduit drastiquement la mobilité. Risque de pétrification permanente,6 mois à 2 ans jusqu'à pétrification complète,60% (deviennent des statues conscientes ou meurent de suffocation),,,,,"Porter des masques dans les mines anciennes, éviter les poudres minérales inconnues, purification régulière",TRUE,Permanente,,"Découverte dans les Mines Maudites de Gris-Roc, probablement causée par un rituel alchimique raté il y a des siècles",Plusieurs mines ont été abandonnées après que des mineurs entiers soient devenus des statues,Les mineurs portent masques et amulettes. Les 'jardins de statues' dans certaines mines sont en réalité d'anciens mineurs pétrifiés.,"Progression très lente mais inexorable. Chercher traitement dès les premiers symptômes. Au stade 3, seule la magie puissante peut sauver.",,68e2a25789e889bc41e430a6,2025-10-05T16:52:39.759000,2025-10-05T16:52:39.759000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Décomposition Vivante,La pire maladie nécrotique connue. Le corps se décompose comme un cadavre TOUT EN RESTANT VIVANT ET CONSCIENT. Souvent contractée dans les cryptes de liches ou par malédiction nécromantique.,,Nécrotique,Très rare,,1d3 jours,,"Odeur de mort, peau pâle puis grise, rigidité, pourriture progressive de la chair, ver et mouches, douleur extrême constante, ressemble à un zombie vivant",Décomposition tout en restant conscient. Douleur et horreur extrêmes. Risque de devenir un mort-vivant maudit,7-14 jours jusqu'à la mort ou transformation en mort-vivant,"98% (la plupart supplient qu'on les tue), 70% deviennent des morts-vivants maudits après la mort",,,,,Éviter absolument les liches et les cryptes de nécromanciens puissants. Protections magiques maximales. Amulettes de protection vitale.,FALSE,,,Créée accidentellement par le Nécromancien Fou Valdrek en 1089 lors d'un rituel de lichification raté. Il voulait l'immortalité mais a créé cette horreur.,Extrêmement rare. Environ 5 cas par siècle. Tous dans des cryptes de liches ou suite à des malédictions nécromantiques puissantes.,TERREUR ABSOLUE. Considérée comme le pire sort possible. Même les nécromanciens la craignent. Les victimes sont généralement tuées par pitié avant le stade 3.,NIVEAU DE MENACE: MAXIMUM. Si contractée: chercher IMMÉDIATEMENT un Archimage ou Grand Prêtre de niveau 17+. Coût minimum 5000 PO. Si stade 3 atteint: mort miséricordieuse recommandée pour éviter transformation en mort-vivant éternellement souffrant. BEAUCOUP PRÉFÈRENT MOURIR que subir cette maladie.,,68e2a25789e889bc41e430a7,2025-10-05T16:52:39.759000,2025-10-05T16:52:39.759000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Peste des Égouts,"Maladie bactérienne courante dans les quartiers pauvres et les égouts. Transmise par les rats et les puces, elle provoque de fortes fièvres et des bubons douloureux.",,Bactérienne,Commun,,1d4 jours,,"Fièvre élevée, bubons (gonflements douloureux des ganglions), frissons violents, maux de tête, faiblesse extrême, taches noires sur la peau",Progressive selon les stades. Sans traitement: mort en 7-14 jours,7-14 jours sans traitement,"60% sans traitement, 20% avec traitement",,,,,"Éviter le contact avec les rats, maintenir l'hygiène, porter des gants dans les égouts, éliminer les puces",TRUE,10 ans,,"Née dans les égouts surpeuplés de la Grande Cité, propagée par les rats",Grande Peste de l'An 1247 - tua 1/3 de la population de la capitale,A conduit à la création des guildes de ratiers et à l'amélioration des systèmes d'égouts,Extrêmement contagieuse dans les espaces confinés. Quarantaine recommandée.,,68e2a18782c6852cf033241d,2025-10-05T16:49:11.263000,2025-10-05T16:49:11.263000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Fièvre des Marais,Maladie parasitaire transmise par les moustiques des marécages. Provoque des fièvres cycliques dévastatrices.,,Parasitaire,Peu commune,,1d6+4 jours,,"Fièvres récurrentes toutes les 48 heures, frissons violents suivis de sueurs abondantes, maux de tête, nausées, faiblesse extrême, jaunisse","Cycles de fièvre débilitants. Entre les crises, récupération partielle mais fatigue persistante","2-8 semaines sans traitement, peut devenir chronique","15% sans traitement, 2% avec traitement",,,,,"Éviter les piqûres de moustiques, utiliser des moustiquaires, rester à l'écart des marais à l'aube et au crépuscule, porter des vêtements couvrants",TRUE,5 ans,,Endémique des Marais Gris au sud du royaume,Décime régulièrement les villages de pêcheurs des marais,Les habitants des marais portent toujours des amulettes d'armoise et dorment sous des moustiquaires enchantées,Peut devenir chronique si non traitée. Les rechutes sont fréquentes.,,68e2a18782c6852cf033241e,2025-10-05T16:49:11.263000,2025-10-05T16:49:11.263000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Pourriture Verte,Infection fongique qui transforme progressivement la chair en masse verdâtre spongieuse. Commence par les extrémités et progresse vers le tronc.,,Fongique,Rare,,2d4 jours,,"Taches vertes qui s'étendent, chair devient spongieuse et pourrie, odeur infecte de moisi, perte progressive de tissus, douleurs",Progression dévastatrice. Sans traitement urgent au stade 3: amputation nécessaire ou mort,7-14 jours jusqu'à la mort sans traitement,"80% sans traitement, 30% avec traitement (souvent avec amputation)",,,,,"Éviter l'eau stagnante des cavernes, porter des bottes imperméables, nettoyer immédiatement toute blessure avec de l'alcool fort",FALSE,,,"Découverte dans les grottes humides de la Forêt Noire, semble avoir été créée par un druide fou",Épidémie de 1289 dans le village minier de Grisombre - 40% de morts,Les mineurs portent désormais des amulettes anti-fongiques et se lavent au vinaigre quotidiennement,AMPUTATION IMMÉDIATE recommandée si stade 3 atteint et aucun clerc disponible. Ne pas hésiter.,,68e2a18782c6852cf033241f,2025-10-05T16:49:11.263000,2025-10-05T16:49:11.263000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Corruption Arcanique,"Maladie magique affectant uniquement les lanceurs de sorts. L'énergie magique dans le corps devient instable et corrompue, causant des effets imprévisibles.",,Magique,Rare,,1d4 jours après surcharge magique ou contact avec magie corrompue,,"Aura magique instable visible, yeux brillants, étincelles spontanées, maux de tête sévères, saignements lors d'incantations, convulsions d'énergie",Affecte uniquement les lanceurs de sorts. Rend la magie dangereuse et imprévisible,"2-3 semaines sans traitement, peut devenir permanent",40% (souvent par explosion magique au stade 3),,,,,"Éviter la surcharge magique (lancer trop de sorts trop rapidement), éviter les zones de magie sauvage, ne pas toucher d'artefacts corrompus sans protection",FALSE,,,"Apparue après la Grande Rupture Magique de 1156, causée par l'explosion d'une Tour de Magie",Affecte environ 50 mages par an dans l'Académie Arcanique,Les mages sont désormais formés à reconnaître les signes et à pratiquer la 'magie sûre',ARRÊTER IMMÉDIATEMENT de lancer des sorts dès les premiers symptômes. Pourrait devenir un Élémentaire Sauvage incontrôlé au stade 3.,,68e2a18782c6852cf0332420,2025-10-05T16:49:11.263000,2025-10-05T16:49:11.263000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Malédiction du Loup-Garou,Maladie maudite transmise par la morsure d'un lycanthrope. Transforme progressivement la victime en loup-garou lors des pleines lunes.,,Maudite,Rare,,Jusqu'à la prochaine pleine lune (1-30 jours),,"Entre les transformations: agitation avant la pleine lune, sens aiguisés, agressivité croissante, pilosité accrue, yeux dorés. Pendant la transformation: douleur extrême, perte de conscience humaine, comportement de prédateur",Transformation involontaire à chaque pleine lune. Forme de loup-garou avec statistiques de lycanthrope mais aucun contrôle,Permanent sans traitement,"0% directement, mais risque élevé de tuer d'autres personnes pendant les transformations",,,,,"Éviter les loups-garous, porter de l'argent (brûle leur peau), rester enfermé les nuits de pleine lune si dans une zone à risque",TRUE,Permanente si guéri avant 1 an,,Malédiction ancestrale remontant au Pacte Noir avec les Esprits de la Chasse,Meutes de loups-garous ont terrorisé la Forêt Sombre pendant des siècles,"Les villageois s'enferment lors des pleines lunes, chasseurs de monstres spécialisés formés, commerce d'argent florissant",QUARANTAINE IMMÉDIATE lors des pleines lunes. Les victimes transformées sont EXTRÊMEMENT dangereuses. Seul l'argent ou la magie peut les blesser.,,68e2a18782c6852cf0332421,2025-10-05T16:49:11.263000,2025-10-05T16:49:11.263000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Grippe Commune,"Maladie virale très contagieuse mais généralement bénigne. Se propage rapidement dans les villes, surtout en hiver.",,Virale,Commun,,1d3 jours,,"Fièvre modérée, toux, mal de gorge, nez qui coule, fatigue, courbatures, frissons",Désavantage aux jets de Constitution et de Force pendant 1d4+3 jours. Fatigue générale.,3-7 jours,1% (surtout enfants et personnes âgées),,,,,"Se laver les mains régulièrement, éviter les foules pendant les épidémies, porter un masque",TRUE,6 mois à 1 an (le virus mute),,Existe depuis la nuit des temps,Épidémies hivernales annuelles dans toutes les grandes villes,Considérée comme un mal nécessaire de l'hiver. Les marchés vendent des remèdes à chaque coin de rue.,,,68e2a18782c6852cf0332422,2025-10-05T16:49:11.263000,2025-10-05T16:49:11.263000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
