name,description_text,image_url,type,rarity,habitat,climate,season,properties,effects,preparation,parts_used,harvest_difficulty,market_value,toxicity_level,antidote,magical_uses,growth_time,cultivable,warnings,lore,id,created_date,updated_date,created_by_id,created_by,is_sample,world_id
Fleur de Sureau,Petites fleurs blanches au parfum délicat de muscat.,,Plante médicinale,Commun,"Haies, lisières de forêts",Tempéré,Début d'été,,,Infusion ou sirop,,Facile,1,Non toxique,,,,FALSE,,Remède traditionnel des grand-mères.,68e2973d62ee4dfd14fa1c02,2025-10-05T16:05:17.693000,2025-10-05T16:05:17.693000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Anis Étoilé,Fruit en forme d'étoile au goût anisé puissant.,,Aromate,Peu commune,Forêts d'Orient,Tropical,Automne,,,Infusion ou macération,,Moyen,6,Non toxique,,,,FALSE,,Ingrédient de nombreuses liqueurs.,68e2973d62ee4dfd14fa1c03,2025-10-05T16:05:17.693000,2025-10-05T16:05:17.693000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Pomme de Terre,"Tubercule universel, base de l'alimentation. Pousse facilement partout.",,Comestible,Commun,"Champs cultivés, tous terrains",Tous climats,Automne,,,Cuite de mille façons,,Très facile,0.1,Non toxique,,,,FALSE,,Nourriture de base dans tout le royaume.,68e295d4d669d09f29993cc4,2025-10-05T15:59:16.625000,2025-10-05T15:59:16.625000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Tomate Rouge,"Fruit charnu rouge vif. Juteux et savoureux, cru ou cuit.",,Comestible,Commun,"Potagers, jardins ensoleillés",Tempéré,Été,,,"Crue, cuite, en sauce",,Très facile,0.2,Non toxique,,,,FALSE,,Ingrédient essentiel de nombreuses cuisines.,68e295d4d669d09f29993cc5,2025-10-05T15:59:16.625000,2025-10-05T15:59:16.625000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Laitue Croquante,Salade verte aux feuilles tendres. Fraîche et désaltérante.,,Comestible,Commun,Potagers,Tempéré,"Printemps, été",,,Crue en salade,,Très facile,0.1,Non toxique,,,,FALSE,,,68e295d4d669d09f29993cc6,2025-10-05T15:59:16.625000,2025-10-05T15:59:16.625000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Fraises des Bois,Petites baies rouges sucrées. Parfum intense et goût délicieux.,,Comestible,Commun,"Lisières de forêts, clairières",Tempéré,Début d'été,,,Crues ou en confiture,,Très facile,0.5,Non toxique,,,,FALSE,,Les enfants adorent les cueillir.,68e295d4d669d09f29993cc7,2025-10-05T15:59:16.625000,2025-10-05T15:59:16.625000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Miel Doré,Nectar sucré produit par les abeilles. Conservateur naturel.,,Comestible,Commun,"Ruches, arbres creux",Tempéré,"Été, automne",,,Direct ou en cuisson,,Moyen,1,Non toxique,,,,FALSE,,Or liquide des apiculteurs.,68e295d4d669d09f29993cc8,2025-10-05T15:59:16.625000,2025-10-05T15:59:16.625000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Citron Jaune,Agrume acide et rafraîchissant. Riche en vitamine.,,Comestible,Commun,"Vergers, régions chaudes",Tempéré,Hiver,,,"Jus, zeste",,Facile,0.5,Non toxique,,,,FALSE,,,68e295d4d669d09f29993cc9,2025-10-05T15:59:16.625000,2025-10-05T15:59:16.625000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Menthe Poivrée,Herbe aromatique fraîche et rafraîchissante.,,Aromate,Commun,"Jardins, bords de ruisseaux",Tempéré,Été,,,Infusion ou fraîche,,Très facile,0.2,Non toxique,,,,FALSE,,,68e295d4d669d09f29993cca,2025-10-05T15:59:16.625000,2025-10-05T15:59:16.625000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Basilic Sacré,Herbe aromatique au parfum puissant. Essentielle en cuisine.,,Aromate,Commun,Jardins ensoleillés,Tempéré,Été,,,"Frais, ciselé",,Très facile,0.3,Non toxique,,,,FALSE,,,68e295d4d669d09f29993ccb,2025-10-05T15:59:16.625000,2025-10-05T15:59:16.625000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Safran Stellaire,Pistils dorés qui scintillent comme des étoiles. Extrêmement rare et précieux.,,Aromate,Légendaire,Jardins suspendus célestes,Tous climats,Équinoxes uniquement,,,"Infuser dans un liquide chaud, très peu suffit",,Très difficile,500,Non toxique,,,,FALSE,,Il faut 10 000 fleurs pour obtenir 50g de safran stellaire. Les devins le consomment avant leurs prophéties.,68e2952e0b5bce32ea0851ad,2025-10-05T15:56:30.483000,2025-10-05T15:56:30.483000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Mandragore Hurlante,"Racine humanoïde qui pousse la nuit. Son cri peut tuer, mais sa chair guérit miraculeusement.",,Plante médicinale,Très rare,"Cimetières, lieux d'exécutions anciennes",Tempéré,Nuits de nouvelle lune,,,Cuire longuement après récolte en portant des protections auditives,,Très difficile,200,Très toxique si crue,,,,FALSE,Son cri lors de l'arrachage peut tuer. Porter des protections. Toxique si non cuite.,Arrachée traditionnellement par un chien noir pour éviter le cri mortel.,68e2952e0b5bce32ea0851ae,2025-10-05T15:56:30.483000,2025-10-05T15:56:30.483000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Menthe de Drow,Menthe violette qui pousse uniquement dans l'Outreterre. Goût intense et rafraîchissant.,,Aromate,Rare,Cavernes de l'Outreterre,Tous climats,Toute l'année,,,Fraîche ou séchée en infusion,,Difficile,25,Non toxique,,,,FALSE,,Les drows en cultivent dans leurs cités souterraines et en font un thé quotidien.,68e2952e0b5bce32ea0851af,2025-10-05T15:56:30.483000,2025-10-05T15:56:30.483000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Vanille des Îles Lointaines,Gousse parfumée exotique. Son arôme est envoûtant et apaisant.,,Aromate,Rare,Îles tropicales lointaines,Tropical,Été,,,Fendre la gousse et gratter les graines,,Difficile,30,Non toxique,,,,FALSE,,"Ramenée par les explorateurs maritimes, elle vaut son pesant d'or.",68e2952e0b5bce32ea0851b0,2025-10-05T15:56:30.483000,2025-10-05T15:56:30.483000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Feuilles de Thé Elfique,Thé précieux cultivé par les hauts-elfes. Apporte sérénité et concentration.,,Plante médicinale,Peu commune,Jardins elfiques,Tempéré,Printemps,,,Infusion délicate à température précise,,Moyen,15,Non toxique,,,,FALSE,,Les elfes organisent des cérémonies du thé élaborées.,68e2952e0b5bce32ea0851b1,2025-10-05T15:56:30.483000,2025-10-05T15:56:30.483000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Tubercule de Dragon,Tubercule qui pousse près des tanières de dragons. Incroyablement épicé et énergisant.,,Comestible,Très rare,"Tanières de dragons, sols volcaniques",Tous climats,Après visite d'un dragon,,,"Cuire longuement, sinon trop épicé",,Très difficile,150,Légèrement toxique,,,,FALSE,"Extrêmement épicé, peut causer des brûlures internes",Dit pousser du souffle des dragons qui s'enfonce dans la terre.,68e2952e0b5bce32ea0851b2,2025-10-05T15:56:30.483000,2025-10-05T15:56:30.483000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Grain de Café Éveillé,Grains de café magiques qui ne laissent jamais fatigué. Cultivé par des moines.,,Comestible,Peu commune,Monastères de montagne,Montagnard,Automne,,,"Torréfier et moudre, infuser à l'eau bouillante",,Moyen,20,Non toxique,,,,FALSE,"Addiction possible, ne pas abuser",Les moines en boivent pour leurs méditations nocturnes prolongées.,68e2952e0b5bce32ea0851b3,2025-10-05T15:56:30.483000,2025-10-05T15:56:30.483000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Melon d'Eau Oasienne,Fruit juteux du désert qui contient une eau pure et rafraîchissante.,,Comestible,Peu commune,Oasis désertiques,Aride,Été,,,"Consommer frais, l'eau est potable directement",,Facile,10,Non toxique,,,,FALSE,,Les caravanes cherchent ces oasis spécialement pour ces melons salvateurs.,68e2952e0b5bce32ea0851b4,2025-10-05T15:56:30.483000,2025-10-05T15:56:30.483000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Fleur de Givre,Fleur blanche cristalline qui pousse uniquement dans les régions glacées. Reste froide au toucher même près du feu.,,Plante médicinale,Rare,"Toundras gelées, sommets enneigés",Polaire,Hiver,,,Infuser dans l'eau chaude ou manger les pétales crus,,Difficile,20,Non toxique,,,,FALSE,,Les géants du froid les cultivent dans leurs jardins gelés.,68e2942fdf16a667f1f97028,2025-10-05T15:52:15.916000,2025-10-05T15:52:15.916000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Mousse de Mémoire,Mousse verte argentée qui pousse sur les pierres anciennes. Aide à retrouver les souvenirs oubliés.,https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/5286dfbb9_MoussedeMmoire.png,Plante médicinale,Peu commune,"Ruines anciennes, pierres millénaires",Tempéré,Toute l'année,,,"Sécher et réduire en poudre, puis saupoudrer sur la nourriture",,Facile,8,Non toxique,,,,FALSE,,Les bardes l'utilisent pour se souvenir des anciennes légendes.,68e2942fdf16a667f1f97029,2025-10-05T15:52:15.916000,2025-11-14T17:16:21.769000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Vigne de Sang,Plante rampante aux tiges rouge foncé qui semble pulser. Restaure le sang perdu.,,Plante médicinale,Rare,"Anciens champs de bataille, lieux de mort",Tous climats,Automne,,,Presser le jus et boire frais,,Moyen,25,Non toxique,,,,FALSE,,Dit pousser du sang des héros tombés au combat.,68e2942fdf16a667f1f9702a,2025-10-05T15:52:15.916000,2025-10-05T15:52:15.916000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Orchidée Fantôme,Fleur translucide presque invisible qui pousse dans les cimetières. Permet de voir entre les plans.,https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/a59f6e4b6_OrchideFantme.png,Ingrédient magique,Très rare,"Cimetières, lieux hantés",Tempéré,Nuits sans lune,,,Infusion délicate ou consommation des pétales,,Très difficile,75,Légèrement toxique,,,,FALSE,Peut causer des visions dérangeantes,Les nécromanciens en ont besoin pour certains rituels.,68e2942fdf16a667f1f9702b,2025-10-05T15:52:15.916000,2025-11-14T17:03:38.886000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Algue Luminescente,Algue marine qui brille d'une lumière bleue-verte. Riche en nutriments.,,Comestible,Commun,"Côtes marines, grottes sous-marines",Tous climats,Toute l'année,,,Sécher et utiliser comme assaisonnement ou manger fraîche,,Facile,2,Non toxique,,,,FALSE,,Nourriture de base des tritons et créatures marines.,68e2942fdf16a667f1f9702c,2025-10-05T15:52:15.916000,2025-10-05T15:52:15.916000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Lierre de Fer,Lierre aux feuilles métalliques qui pousse sur les forteresses en ruines. Renforce le corps.,https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/9409b143e_LierredeFer.png,Plante médicinale,Peu commune,"Ruines fortifiées, vieilles murailles",Tous climats,Été,,,Infusion longue ou macération dans l'alcool,,Moyen,12,Non toxique,,,,FALSE,,Les soldats en font une tisane avant les batailles.,68e2942fdf16a667f1f9702d,2025-10-05T15:52:15.916000,2025-11-15T06:37:29.370000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Cactus de Miel,Cactus du désert qui produit un nectar sucré incroyablement énergisant.,,Comestible,Peu commune,"Déserts, zones arides",Aride,Été,,,Extraire le nectar avec précaution,,Moyen,15,Non toxique,,,,FALSE,Les épines sont très acérées,Les caravanes du désert en font provision.,68e2942fdf16a667f1f9702e,2025-10-05T15:52:15.916000,2025-10-05T15:52:15.916000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Rose de Pierre,Fleur minérale qui pousse dans les cavernes. Ses pétales sont durs comme la pierre mais comestibles.,,Comestible,Rare,"Cavernes profondes, mines",Tous climats,Toute l'année,,,Concasser finement et mélanger à de la nourriture,,Difficile,40,Non toxique,,,,FALSE,,Les nains l'utilisent dans leurs fortifiants de guerre.,68e2942fdf16a667f1f9702f,2025-10-05T15:52:15.916000,2025-10-05T15:52:15.916000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Racine de Mana,Racine bleutée qui pulse légèrement d'énergie magique. Goût sucré.,https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/0db0d5110_RacinedeMana.png,Plante médicinale,Rare,Près des nœuds de lignes telluriques,Tous climats,Printemps,,,Bouillir pendant 30 minutes ou infuser,,Très difficile,50,Non toxique,,,,FALSE,,Très prisée par les lanceurs de sorts.,68e29304062c229af79b9c60,2025-10-05T15:47:16.128000,2025-11-15T06:43:03.427000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Baie de Vitalité,Petite baie rouge éclatante gorgée d'énergie vitale.,https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/f7d64a4d7_BaiedeVitalit.png,Plante médicinale,Peu commune,Forêts anciennes,Tempéré,Automne,,,Consommer crue ou en confiture,,Facile,10,Non toxique,,,,FALSE,,Les druides les plantent près de leurs bosquets sacrés.,68e29304062c229af79b9c61,2025-10-05T15:47:16.128000,2025-11-15T06:40:40.961000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Truffel des Profondeurs,Champignon souterrain rare au goût intense et terreux. Très prisé.,https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/0a8d4ba36_TruffeldesProfondeurs.png,Champignon,Très rare,"Profondeurs de la Terre, racines d'arbres millénaires",Tous climats,Hiver,,,Râper finement sur les plats ou infuser dans l'huile,,Très difficile,100,Non toxique,,,,FALSE,,Recherché par les cochons et les porcs garous. Les nobles paient des fortunes.,68e29304062c229af79b9c62,2025-10-05T15:47:16.128000,2025-11-15T06:46:02.121000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Champignon Lumineux,Champignon bleu pâle qui brille doucement dans l'obscurité. Pousse dans les grottes profondes.,https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/7fd08e0e5_ChampignonLumineux.png,Champignon,Peu commune,"Grottes humides, cavernes profondes",Tous climats,Toute l'année,,,Peut être consommé cru ou cuit. La cuisson préserve ses propriétés.,,Facile,5,Non toxique,,,,FALSE,,Les nains l'utilisent comme assaisonnement pour voir dans leurs mines sombres.,68e29304062c229af79b9c5d,2025-10-05T15:47:16.127000,2025-11-15T06:51:05.174000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Herbe d'Argent,Herbe aux reflets argentés qui pousse sous la lumière lunaire. Goût subtil et frais.,https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/80030ee6f_HerbedArgent.png,Aromate,Rare,Clairières baignées de lune,Tempéré,Nuits de pleine lune,,,Infusion ou ajout frais dans les plats,,Difficile,15,Non toxique,,,,FALSE,,Les elfes la récoltent lors des cérémonies lunaires.,68e29304062c229af79b9c5e,2025-10-05T15:47:16.127000,2025-11-15T06:48:41.494000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Piment de Feu,Petit piment rouge vif qui semble contenir des flammes. Extrêmement épicé.,https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/c9aedf7b3_Pilmentdefeu.png,Comestible,Peu commune,"Régions volcaniques, déserts chauds",Aride,Été,,,"Sécher et moudre, ou utiliser frais avec précaution",,Moyen,8,Légèrement toxique,,,,FALSE,Peut causer des brûlures buccales. Utiliser avec modération.,Les cuisiniers draconiques l'adorent.,68e29304062c229af79b9c5f,2025-10-05T15:47:16.127000,2025-11-15T06:56:21.919000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Feuille de Yggdrasil,Feuille d'or d'un arbre-monde légendaire. Ne se flétrit jamais et irradie de magie primordiale.,https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/c1dffda97_FeuilledeYggdrasil.png,Plante médicinale,Légendaire,Arbres-mondes uniquement,Tous climats,Toute l'année,,,"Utilisation directe, ne doit jamais être altérée",,Très difficile,10000,,,"Enchantements de vie, régénération, résurrection",Millénaires,FALSE,,Les Feuilles de Yggdrasil tombent une fois par siècle. Elles sont considérées comme sacrées par les elfes et les druides.,68e28de1db7453d9d0337cd0,2025-10-05T15:25:21.749000,2025-11-15T06:59:56.152000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Mousse de Troll,Mousse verdâtre qui pousse sur les grottes où vivent les trolls. Possède leurs propriétés régénératives.,https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/377b05f14_MoussedeTroll.png,Mousse,Peu commune,Grottes de trolls,Tous climats,Toute l'année,,,Sécher et broyer en poudre,,Moyen,20,,,"Potions de régénération, onguents de guérison",,FALSE,,,68e28de1db7453d9d0337cd1,2025-10-05T15:25:21.749000,2025-11-15T07:02:48.039000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Mousse Lumineuse des Cavernes,Une mousse bioluminescente qui pousse dans les grottes les plus profondes. Elle absorbe l'humidité et émet une lueur verdâtre.,https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/415198977_MousseLumineusedesCavernes.png,Mousse,Peu commune,"Cavernes profondes, grottes humides",Tous climats,Toute l'année,,,Sécher puis réduire en poudre luminescente,,Moyen,12,,,"Potions de vision nocturne, sources de lumière alchimiques",,TRUE,,,68e283fc5774f0a395e9d919,2025-10-05T14:43:08.715000,2025-11-15T07:18:01.901000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Rose de Feu,Une rose écarlate qui pousse près des volcans. Ses pétales sont chauds au toucher et ne brûlent jamais.,https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/fc48d4dcd_Rosedefeu.png,Plante médicinale,Rare,"Zones volcaniques, terres chaudes",Aride,Été,,,Extraire l'huile des pétales par pression,,Difficile,45,,,"Potions de résistance au feu, onguents protecteurs",,FALSE,Manipuler avec des gants résistants à la chaleur,,68e283fc5774f0a395e9d91a,2025-10-05T14:43:08.715000,2025-11-15T07:15:01.029000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Herbe-à-Rêves,Une herbe violette aux feuilles duveteuses qui induit des rêves prophétiques quand elle est consommée.,https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/88cb940de_Herbe--Rves.png,Plante médicinale,Rare,"Prairies enchantées, cercles de fées",Tempéré,Printemps,,,Sécher et infuser dans de l'eau chaude,,Difficile,60,,,"Potions de divination, encens prophétiques",,FALSE,,,68e283fc5774f0a395e9d91b,2025-10-05T14:43:08.715000,2025-11-15T08:05:17.874000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Lierre Étrangleur Noir,Un lierre venimeux noir qui paralyse ce qu'il touche. Utilisé pour créer des poisons paralysants.,https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/e1d4e1c34_LierretrangleurNoir.png,Poison,Peu commune,"Forêts sombres, marécages",Tempéré,Toute l'année,,,"Extraction de la sève, distillation",,Moyen,18,Très toxique,Potion de neutralisation du poison,,,FALSE,Porter des gants épais lors de la récolte,,68e283fc5774f0a395e9d91c,2025-10-05T14:43:08.715000,2025-11-15T07:09:55.688000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Baies de Vitalité,De petites baies rouges brillantes qui restaurent l'énergie et soignent la fatigue.,https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/d5fc8d985_BaiesdeVitalit.png,Comestible,Commune,"Forêts tempérées, lisières",Tempéré,Été et automne,,,Consommer fraîches ou sécher pour conservation,,Facile,5,,,"Potions d'endurance, rations énergétiques",,TRUE,,,68e283fc5774f0a395e9d91d,2025-10-05T14:43:08.715000,2025-11-15T08:01:42.227000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Ortie d'Argent,Une ortie aux feuilles argentées qui brûle au toucher mais possède d'excellentes propriétés curatives une fois traitée.,https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/aaadf91ce_OrtiedArgent.png,Plante médicinale,Peu commune,"Prairies, bordures de chemins",Tempéré,Printemps,,,Faire bouillir pour neutraliser l'effet urticant,,Moyen,8,,,,,FALSE,"Brûlures au contact, porter des gants",,68e283fc5774f0a395e9d91e,2025-10-05T14:43:08.715000,2025-11-15T07:05:18.904000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Champignon Spongieux Violet,Un champignon violet qui absorbe les liquides. Parfait pour créer des concentrés de potions.,https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/85cc86573_ChampignonSpongieuxViolet.png,Champignon,Peu commun,"Forêts humides, souches d'arbres",Tempéré,Automne,,,Sécher et presser pour extraire les essences concentrées,,Facile,10,,,"Agent concentrateur pour potions, réduction de volume",,FALSE,,,68e283fc5774f0a395e9d91f,2025-10-05T14:43:08.715000,2025-11-15T08:10:26.777000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
Trèfle Doré à Quatre Feuilles,Un trèfle extrêmement rare dont les feuilles dorées portent bonheur et augmentent la chance.,https://base44.app/api/apps/68d133369c4bfb4942ca73e2/files/public/68d133369c4bfb4942ca73e2/bf7218f29_TrfleDorQuatreFeuilles.png,Plante médicinale,Très rare,"Prairies enchantées, très rare",Tempéré,Printemps,,,Presser entre deux plaques d'or puis macérer,,Très difficile,200,,,"Potions de chance, amulettes porte-bonheur",,FALSE,,On dit qu'une personne sur dix mille seulement peut voir un trèfle doré à quatre feuilles.,68e283fc5774f0a395e9d920,2025-10-05T14:43:08.715000,2025-11-15T07:27:01.246000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE,
