name,description_text,image_url,type,cuisine_style,difficulty,difficulty_dc,preparation_time,cooking_time,total_time,servings,ingredients,ingredients_total_cost,required_tools,cooking_steps,special_effects,effects_duration,addiction_risk,addiction_threshold,positive_effects_degradation,addiction_effects,withdrawal_symptoms,taste_description,appearance,aroma,texture,serving_suggestion,pairing,storage_conditions,shelf_life,market_value,cultural_significance,history,variations,tips,warnings,notes,id,created_date,updated_date,created_by_id,created_by,is_sample
Vin Rouge des Collines,Vin rubis profond aux tanins veloutés. Élégant et complexe.,,Boisson,Elfique,Difficile,18,1 journée,90 jours (fermentation + vieillissement),90 jours,50,,53,"Pressoir, cuves de fermentation, fûts de chêne, bouteilles",,+2 Charisme pour interactions sociales pendant 2 heures. Donne inspiration à un barde.,2 heures,,,,,,"Fruits rouges mûrs, tanins soyeux, notes de chêne",Rouge rubis profond avec reflets pourpres,"Cerise, mûre, vanille, épices douces","Velouté, rond en bouche","Carafer 1 heure avant, servir à 16-18°C","Viandes rouges, gibier, fromages affinés","Couché, à l'abri de la lumière, 12-14°C",5-20 ans selon millésime,2,Les elfes célèbrent leurs 100 ans avec un vin du même millésime,Art millénaire transmis par les hauts-elfes,Peut être fait avec raisins blancs pour vin blanc,Chaque étape demande précision. Un échec critique peut transformer le vin en vinaigre.,,Les meilleurs vins sont gardés pour les grandes occasions,68e2973d62ee4dfd14fa1c0c,2025-10-05T16:05:17.856000,2025-10-05T16:05:17.856000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Hydromel des Dieux,Breuvage sacré fermenté au miel. Doré et capiteux.,,Boisson,Nordique,Moyen,15,3 heures,60 jours,60 jours,30,,65,"Grande marmite, fermenteur, bouteilles",,"+1 Constitution, +2 Charisme pour 2 heures. Résistance au froid pendant 1 heure.",2 heures,,,,,,"Sucré miellé, épicé, chaleureux","Doré ambré, brillant","Miel, épices douces, notes florales","Onctueux, légèrement sirupeux",Servir frais ou chaud selon saison,"Viandes rôties, desserts aux fruits","Bouteilles couchées, au frais",Plusieurs années,3,Boisson des banquets vikings et cérémonies sacrées,Considéré comme le nectar des dieux nordiques,,Le ratio miel/eau détermine la force finale,,Meilleur après 6 mois de vieillissement,68e2973d62ee4dfd14fa1c0d,2025-10-05T16:05:17.856000,2025-10-05T16:05:17.856000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Cidre Pétillant des Vergers,Cidre effervescent aux pommes. Fruité et désaltérant.,,Boisson,Halfeline,Facile,12,4 heures,21 jours,21 jours,25,,17.5,"Pressoir, fermenteur, bouteilles résistantes à pression",,+1 Dextérité pendant 1 heure. Légère euphorie.,1 heure,,,,,,"Fruité, légèrement acidulé, rafraîchissant","Jaune paille, bulles fines","Pomme fraîche, notes florales","Pétillant, léger",Servir bien frais (6-8°C),"Fromages, tarte aux pommes, crêpes","Debout, au frais",1 an,0.8,Boisson traditionnelle des fêtes de la récolte des halfelins,,,"Attention à la pression en bouteille, risque d'explosion si trop de sucre",,Les halfelins organisent des concours du meilleur cidre,68e2973d62ee4dfd14fa1c0e,2025-10-05T16:05:17.856000,2025-10-05T16:05:17.856000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Café Noir Corsé,Café fort et aromatique. Réveille les morts.,,Boisson,Universelle,Facile,10,5 minutes,5 minutes,10 minutes,4,,6,"Cafetière, moulin à café",,Élimine 1 niveau de fatigue. +2 Perception pendant 4 heures. Désavantage aux jets de Sagesse (nervosité).,4 heures,,,,,,"Amer, corsé, notes de chocolat et noisette",Noir profond avec crema dorée,"Torréfaction intense, caramélisé","Liquide dense, huileux","Chaud, avec ou sans sucre/lait","Viennoiseries, chocolat","Boire frais, café moulu à garder au sec","30 minutes (optimal), grains 6 mois",2,Rituel matinal des magiciens et érudits,Introduit par les marchands des îles lointaines,,Eau trop chaude rend le café amer,,Interdit de réveiller un magicien avant son café,68e2973d62ee4dfd14fa1c0f,2025-10-05T16:05:17.856000,2025-10-05T16:05:17.856000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Thé Elfique aux Épices,Thé noir parfumé d'épices orientales. Réconfortant et énergisant.,,Boisson,Elfique,Facile,10,5 minutes,10 minutes,15 minutes,4,,6.6,"Casserole, passoire fine",,"+1 Sagesse, +1 Concentration pendant 4 heures. Avantage aux jets de Perception.",4 heures,,,,,,"Épicé, crémeux, légèrement sucré",Brun laiteux avec reflets dorés,"Cannelle, cardamome, gingembre","Onctueux, velouté",Servir très chaud dans des tasses fines,"Biscuits, pâtisseries aux amandes",Boire frais,2 heures,2,Servi lors des conseils elfiques et cérémonies,Recette rapportée par les elfes voyageurs d'Orient,,Les elfes ont un rituel précis de préparation,,Favorise la méditation et la clarté d'esprit,68e2973d62ee4dfd14fa1c10,2025-10-05T16:05:17.856000,2025-10-05T16:05:17.856000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Limonade Magique Pétillante,Limonade enchantée qui pétille d'elle-même. Rafraîchissante et énergisante.,,Boisson,Magique,Moyen,14,15 minutes,0,15 minutes,6,,13.5,"Pichet, presse-agrumes",,Restaure 1d4 emplacements de sorts de niveau 1. +1 Charisme pendant 2 heures. Lévitation de 1cm pendant 1 minute.,2 heures,,,,,,"Acidulé, sucré, pétille sur la langue",Jaune pâle avec éclats scintillants,"Citron frais, menthe, notes magiques sucrées",Pétillant magiquement sans CO2,Dans des verres transparents pour voir les étincelles,Parfait seul ou avec desserts légers,Perd sa magie après 4 heures,"4 heures (magie), 2 jours (boisson normale)",3,Boisson festive des académies de magie,Inventée par un apprenti sorcier distrait qui a laissé tomber de la poussière de fée dans sa limonade,,"Le sens de rotation pour mélanger est crucial, sinon la boisson peut exploser","Ne pas consommer plus de 2 verres par jour, risque de lévitation incontrôlée",Les enfants adorent les bulles magiques,68e2973d62ee4dfd14fa1c11,2025-10-05T16:05:17.856000,2025-10-05T16:05:17.856000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Grog du Pirate,Rhum chaud épicé. Réchauffe le corps et l'esprit.,,Boisson,Maritime,Très facile,8,5 minutes,5 minutes,10 minutes,4,,4.7,"Casserole, louche",,+2 Constitution contre le froid pendant 4 heures. Ignore 1 niveau de fatigue. +1 Force pendant 1 heure.,4 heures,,,,,,"Chaud, épicé, alcoolisé, réconfortant",Ambré fumant avec rondelle de citron,"Rhum, cannelle, citron",Chaud et réconfortant,"Dans des chopes en étain, très chaud","Biscuits de mer, fruits secs",Boire immédiatement,30 minutes,1.5,"Ration quotidienne des marins, cure contre le scorbut",Inventé par l'amiral Grog pour réduire l'ivresse à bord,,"Ne jamais faire bouillir le rhum, il perd ses arômes",,Sauve des vies lors des tempêtes glacées,68e2973d62ee4dfd14fa1c12,2025-10-05T16:05:17.856000,2025-10-05T16:05:17.856000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Thé Glacé de l'Oasis,Thé vert glacé à l'hibiscus. Désaltérant et rafraîchissant.,,Boisson,Désertique,Facile,10,10 minutes,10 minutes (+ 2h refroidissement),2h20,6,,5.7,"Pichet, passoire",,Immunité contre coup de chaleur pendant 8 heures. Restaure 1d4 points de vie. +1 Sagesse.,8 heures,,,,,,"Acidulé, mentholé, légèrement sucré",Rouge rubis avec feuilles de menthe,"Hibiscus, menthe fraîche, citron","Glacé, désaltérant",Très frais avec beaucoup de glace,Parfait seul sous le soleil,Au frais,2 jours,1,Boisson essentielle des caravanes du désert,Sauve les voyageurs de la déshydratation,,La glace magique ne dilue pas la boisson,,Essentiel dans toute oasis qui se respecte,68e2973d62ee4dfd14fa1c13,2025-10-05T16:05:17.856000,2025-10-05T16:05:17.856000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Lait de Poule Festif,Boisson crémeuse épicée aux œufs. Tradition des fêtes d'hiver.,,Boisson,Nordique,Moyen,13,10 minutes,15 minutes,25 minutes,8,,5.2,"Casserole, fouet, bols",,"+1 Constitution, +2 Charisme pendant 3 heures. Réchauffement garanti.",3 heures,,,,,,"Crémeux, épicé, chaleureux",Jaune pâle crémeux avec mousse,"Cannelle, muscade, vanille, rhum","Velouté, mousseux",Servir dans des tasses avec paille de cannelle,"Biscuits de Noël, pain d'épices",Consommer frais ou froid,2 jours au frais,1.5,Boisson traditionnelle du solstice d'hiver,Recette ancestrale pour célébrer les longues nuits d'hiver,,Attention à ne pas cuire les œufs lors de l'ajout du lait chaud,"Contient œufs crus, consommer rapidement",Encore meilleur avec une double dose de rhum,68e2973d62ee4dfd14fa1c14,2025-10-05T16:05:17.856000,2025-10-05T16:05:17.856000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Pommes de Terre Rôties au Beurre,"Le plat réconfortant le plus simple. Doré, croustillant et fondant.",,Accompagnement,Paysanne,Très facile,8,10 minutes,40 minutes,50 minutes,4,,1.8,"Four, plat à four, couteau",,,,,,,,,Doux et beurré avec une pointe d'herbes,Quartiers dorés brillants,Parfum réconfortant de beurre et pommes de terre rôties,"Croustillant dehors, fondant dedans",Accompagne toutes les viandes et poissons,"Viandes grillées, poissons",Se réchauffe au four,2 jours,0.5,Plat de base dans chaque foyer,,,Bien sécher les pommes de terre pour plus de croustillant,,Impossible à rater,68e295d4d669d09f29993cd2,2025-10-05T15:59:16.723000,2025-10-05T15:59:16.723000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Salade Verte Simple,Salade fraîche classique. Vinaigrette légère.,,Entrée,Universelle,Très facile,5,5 minutes,0,5 minutes,4,,0.9,"Saladier, fouet",,,,,,,,,Frais et léger avec acidité équilibrée,Feuilles vertes brillantes,Fraîcheur végétale et notes de vinaigre,Croquant et tendre,En entrée ou accompagnement,,Ne pas assaisonner à l'avance,Consommer immédiatement,0.3,,,,Assaisonner au dernier moment pour le croquant,,Base de toute alimentation saine,68e295d4d669d09f29993cd3,2025-10-05T15:59:16.723000,2025-10-05T15:59:16.723000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Œufs Brouillés Crémeux,Œufs onctueux et baveux. Petit-déjeuner parfait.,,Plat principal,Universelle,Très facile,8,2 minutes,5 minutes,7 minutes,2,,1,"Poêle anti-adhésive, fouet",,,,,,,,,"Onctueux, crémeux, délicat","Jaune pâle, texture nuageuse",Doux parfum de beurre et œufs,Baveux et fondant,"Sur pain grillé, avec bacon","Pain toasté, bacon, champignons",Ne se conserve pas,Consommer immédiatement,1,,,,"Cuisson douce et constante, ne pas trop cuire",,Réconfort matinal garanti,68e295d4d669d09f29993cd4,2025-10-05T15:59:16.723000,2025-10-05T15:59:16.723000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Tartine de Fromage Frais et Tomate,Simplicité parfaite. Fraîcheur et saveurs équilibrées.,,Entrée,Méditerranéenne,Très facile,5,5 minutes,0,5 minutes,2,,2.1,"Couteau, planche",,,,,,,,,"Frais, acidulé, crémeux","Couleurs vives : blanc, rouge, vert",Parfum de basilic et tomate fraîche,"Pain croustillant, fromage crémeux, tomate juteuse",Apéritif ou déjeuner léger,"Vin blanc frais, rosé",À préparer juste avant,Consommer immédiatement,1.5,Classique des terrasses ensoleillées,,,Tomates bien mûres pour plus de saveur,,Parfait pour l'été,68e295d4d669d09f29993cd5,2025-10-05T15:59:16.723000,2025-10-05T15:59:16.723000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Pâtes au Beurre et Parmesan,La recette la plus simple du monde. Réconfortante à souhait.,,Plat principal,Italienne,Très facile,6,2 minutes,10 minutes,12 minutes,4,,4.8,"Grande casserole, passoire",,,,,,,,,"Onctueux, beurré, salé par le parmesan",Pâtes jaune doré brillantes,Beurre fondu et fromage,Pâtes enrobées de sauce crémeuse,Servir très chaud,"Vin blanc léger, salade verte",Ne se réchauffe pas bien,Consommer immédiatement,2,Plat de comfort food universel,,,Utiliser l'eau de cuisson pour lier la sauce,,Le repas de dernière minute idéal,68e295d4d669d09f29993cd6,2025-10-05T15:59:16.723000,2025-10-05T15:59:16.723000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Fraises au Sucre,Dessert estival parfait. Simplicité et fraîcheur.,,Dessert,Universelle,Très facile,5,5 minutes,0 (macération 30 min),35 minutes,4,,2.85,Saladier,,,,,,,,,"Sucré-acidulé, intensément fruité",Rouge vif brillant dans leur jus,Parfum enivrant de fraises fraîches,Juteux et tendre,"Nature, avec crème fouettée ou glace vanille","Crème Chantilly, glace, champagne",Consommer dans les 24h,1 jour,1,Dessert emblématique de l'été,,,Le sucre fait ressortir le jus naturel,,Peut aussi se faire avec d'autres fruits rouges,68e295d4d669d09f29993cd7,2025-10-05T15:59:16.723000,2025-10-05T15:59:16.723000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Chocolat Chaud Onctueux,Boisson réconfortante par excellence. Riche et veloutée.,,Boisson,Universelle,Très facile,7,2 minutes,5 minutes,7 minutes,2,,6.54,"Casserole, fouet",,"+1 moral temporaire, sensation de chaleur",1 heure,,,,,,"Riche, chocolaté, légèrement sucré","Brun foncé, surface brillante",Chocolat intense avec notes de vanille,Velouté et onctueux,Avec marshmallows ou crème fouettée,"Biscuits, brioches",Se réchauffe doucement,Consommer chaud,4,Boisson des soirées hivernales,,,Ne pas faire bouillir pour éviter l'amertume,,Réconfort liquide garanti,68e295d4d669d09f29993cd8,2025-10-05T15:59:16.723000,2025-10-05T15:59:16.723000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Thé à la Menthe Rafraîchissant,Boisson désaltérante et digestive. Parfaite après les repas.,,Boisson,Orientale,Très facile,6,2 minutes,5 minutes,7 minutes,4,,1.36,"Théière, tasses",,"Aide à la digestion, rafraîchit l'haleine",2 heures,,,,,,"Frais, mentholé, légèrement sucré",Vert pâle avec mousse blanche,Menthe puissante et vivifiante,Liquide léger,Chaud ou glacé avec glaçons,"Pâtisseries orientales, fruits secs",Se boit frais ou chaud,Dans la journée,0.5,Symbole d'hospitalité dans le désert,,,Le geste de verser en hauteur est important,,Parfait après un repas copieux,68e295d4d669d09f29993cd9,2025-10-05T15:59:16.723000,2025-10-05T15:59:16.723000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Pain Perdu au Miel,Dessert ou petit-déjeuner gourmand. Transforme le pain rassis.,,Dessert,Universelle,Très facile,8,5 minutes,8 minutes,13 minutes,4,,1.74,"Poêle, plat creux",,,,,,,,,"Sucré, moelleux, caramélisé",Doré brillant au miel,"Pain grillé, vanille, miel","Croustillant dehors, fondant dedans",Avec fruits frais ou crème,"Fruits rouges, glace vanille",Meilleur consommé chaud,Consommer immédiatement,1,Recette anti-gaspillage ancestrale,,,Le pain rassis fonctionne mieux,,Les enfants adorent,68e295d4d669d09f29993cda,2025-10-05T15:59:16.723000,2025-10-05T15:59:16.723000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Soupe de Tomates Express,Soupe réconfortante prête en 15 minutes. Simplicité parfaite.,,Soupe,Méditerranéenne,Très facile,7,5 minutes,15 minutes,20 minutes,4,,3.5,"Casserole, mixeur",,,,,,,,,"Fruité, légèrement acidulé, réconfortant",Rouge orangé éclatant,Tomates cuites et basilic,Velouté lisse,Avec croûtons et crème fraîche,"Pain grillé, parmesan râpé",Se réchauffe bien,3 jours,1.5,Classique des repas rapides,,,Ajouter une pincée de sucre si trop acide,,Encore meilleure le lendemain,68e295d4d669d09f29993cdb,2025-10-05T15:59:16.723000,2025-10-05T15:59:16.723000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Civet de Lapin aux Champignons Lumineux,Ragoût rustique et réconfortant avec une touche magique qui illumine le plat.,,Plat principal,Paysanne,Moyen,13,45 minutes,2 heures,2h45,6,,23.9,"Cocotte en fonte, couteau",,"Vision nocturne faible pendant 4 heures, le plat brille légèrement",4 heures,,,,,,Saveur riche de gibier avec notes terreuses des champignons,Ragoût brun foncé qui luit subtilement dans l'obscurité,Parfum rustique de ragoût avec une pointe de forêt,Viande fondante qui se détache de l'os,Avec des pommes de terre ou polenta crémeuse,"Vin rouge corsé, pain de campagne",Se bonifie en réchauffant,4 jours,6,Plat traditionnel des chasseurs et fermiers,,,La marinade préalable attendrit davantage la viande,,Idéal pour les soirées d'hiver à la campagne,68e2952e0b5bce32ea0851c7,2025-10-05T15:56:30.734000,2025-10-05T15:56:30.734000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Médaillons de Venaison Sauce aux Baies de Vitalité,Plat noble et raffiné. La viande de cerf mariée aux baies créé une harmonie parfaite.,,Plat principal,Noble,Difficile,17,30 minutes,25 minutes,55 minutes,4,,52.2,"Poêle, casserole, thermomètre à viande",,"Guérit 2d4 points de vie, +1 Constitution pendant 8 heures",8 heures,,,,,,Gibier délicat avec sauce fruitée légèrement sucrée,Médaillons rosés nappés de sauce pourpre brillante,Parfum forestier avec notes de fruits rouges,"Viande tendre et rosée, sauce veloutée",Avec purée de céleri-rave ou légumes rôtis,"Grand vin rouge, gelée de groseille",La viande ne se réchauffe pas bien,Consommer immédiatement,22,Plat des banquets nobles et chasses royales,,,"Ne pas trop cuire la venaison, elle doit rester rosée",,La cuisson parfaite est cruciale,68e2952e0b5bce32ea0851c8,2025-10-05T15:56:30.734000,2025-10-05T15:56:30.734000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Terrine de Sanglier aux Noisettes et Lierre de Fer,Charcuterie robuste qui fortifie. Parfaite pour les longs voyages.,,Conserve,Forestière,Moyen,14,1 heure,3 heures,4 heures + 2 jours repos,16,,30.7,"Hachoir, terrine, four",,"+2 CA naturelle pendant 8 heures, +1 Force",8 heures,,,,,,Saveur puissante de gibier avec croquant des noisettes,Tranche brune marbrée de gras et noisettes,Parfum rustique et herbacé,Texture grossière avec morceaux croquants,En tranches épaisses avec pain et cornichons,"Vin rouge tannique, moutarde",Se conserve 3 semaines au frais,3 semaines,3,Provision des chasseurs et guerriers,,,Le repos est essentiel pour les saveurs,,Idéal pour les rations d'aventuriers,68e2952e0b5bce32ea0851c9,2025-10-05T15:56:30.734000,2025-10-05T15:56:30.734000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Faisan Farci à la Truffe Noire et Foie Gras,Sommet de la cuisine noble. Alliance parfaite de trois ingrédients légendaires.,,Plat principal,Haute cuisine,Très difficile,22,2 heures,45 minutes,2h45,4,,316.5,"Four, ficelle de cuisine, aiguille à brider",,"+2 Charisme pendant 12 heures, les autres créatures sont impressionnées",12 heures,,,,,,"Harmonie sublime entre gibier, foie gras et truffe",Volaille dorée et brillante truffée,Parfum envoûtant de truffe qui embaume la pièce,"Chair délicate du faisan, fondant du foie gras","Découper en salle, servir avec légumes glacés","Grand cru classé, purée de topinambours",Ne se conserve pas,Consommer immédiatement,120,Plat des couronnements et mariages royaux,Recette créée pour un empereur elfe il y a 500 ans,,La truffe doit être insérée juste avant cuisson,"Plat excessivement coûteux, réserver aux grandes occasions",Peut nécessiter plusieurs tentatives pour maîtriser,68e2952e0b5bce32ea0851ca,2025-10-05T15:56:30.734000,2025-10-05T15:56:30.734000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Bouillabaisse de Langouste Royale,Soupe de poissons méditerranéenne élevée au rang de plat royal par la langouste.,,Soupe,Côtière,Difficile,18,1h30,1 heure,2h30,8,,220.5,"Grande marmite, mortier, tamis",,"Vision brève de l'avenir (comme Augure), +2 Sagesse pendant 8 heures",8 heures,,,,,,Explosion de saveurs marines avec la touche céleste du safran,Soupe orange vif qui scintille subtilement,Parfum puissant d'océan et d'épices avec notes stellaires,Bouillon corsé avec chair ferme de langouste,"Avec rouille, croûtons et gruyère râpé",Vin rosé de Provence bien frais,Se réchauffe bien,2 jours,45,Plat des grandes fêtes maritimes,,,Le safran stellaire doit être infusé au dernier moment,,Les propriétés divinatoires sont réelles et puissantes,68e2952e0b5bce32ea0851cb,2025-10-05T15:56:30.734000,2025-10-05T15:56:30.734000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Saumon Gravlax aux Herbes Elfiques,"Saumon mariné à froid selon la tradition nordique, sublimé par les herbes elfes.",,Entrée,Nordique,Moyen,15,45 minutes,0 (marinade 48h),48 heures,12,,39,"Plat profond, poids (pierre ou livres)",,"Avantage aux jets de Sagesse pendant 6 heures, calme mental",6 heures,,,,,,Saumon soyeux avec fraîcheur citronnée et notes de thé,Tranches roses translucides parsemées d'herbes,"Parfum délicat d'aneth, thé et agrumes",Chair fondante qui se découpe comme du beurre,Sur blinis avec crème aigre et aneth,"Aquavit glacé, vodka, champagne",Se conserve 1 semaine au frais,7 jours,8,Plat traditionnel des fêtes elfiques du solstice d'hiver,,,"La patience est la clé, ne pas presser la marinade",,Parfait pour les buffets et réceptions,68e2952e0b5bce32ea0851cc,2025-10-05T15:56:30.734000,2025-10-05T15:56:30.734000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Truite Argentée au Beurre de Fleur de Givre,Poisson délicat cuit au beurre magique. Le contraste chaud-froid crée une expérience unique.,,Plat principal,Elfique,Moyen,15,20 minutes,15 minutes,35 minutes,2,,74.7,"Poêle, pilon et mortier",,Résistance aux dégâts de feu pendant 2 heures,2 heures,,,,,,Poisson fondant avec une fraîcheur glaciale qui persiste en bouche,Filets dorés nappés de beurre blanc cristallin avec amandes grillées,Parfum frais de montagne avec notes citronnées,"Chair floconneuse et tendre, beurre crémeux",Servir sur assiette préchauffée pour le contraste thermique,"Vin blanc sec bien frais, légumes vapeur","Ne se conserve pas, consommer immédiatement",Immédiat,50,Plat signature des auberges alpines elfiques,,,Le beurre de givre doit être ajouté hors du feu pour préserver ses propriétés,,La sensation de fraîcheur persiste même avec le poisson chaud,68e29430df16a667f1f97041,2025-10-05T15:52:16.099000,2025-10-05T15:52:16.099000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Pot-au-Feu Fortifiant,Plat traditionnel roboratif qui rassasie et fortifie. Nourriture de base des paysans.,,Plat principal,Humaine,Facile,10,30 minutes,4 heures,4h30,8,,12.5,"Grande marmite, écumoire",,"+1 Constitution pendant 8 heures, retire 1 niveau d'épuisement",8 heures,,,,,,Saveurs riches et réconfortantes du bouillon et de la viande fondante,Bouillon doré clair avec viande et légumes colorés,Arôme chaleureux de pot-au-feu traditionnel,"Viande tendre, légumes fondants, bouillon velouté","Servir le bouillon d'abord, puis viande et légumes avec cornichons","Pain de campagne, moutarde forte, gros sel","Se conserve 5 jours, se bonifie en réchauffant",5 jours,3,Plat familial dominical traditionnel,Recette millénaire transmise de génération en génération,,La cuisson lente est essentielle pour un bouillon clair et savoureux,,,68e29430df16a667f1f97042,2025-10-05T15:52:16.099000,2025-10-05T15:52:16.099000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Salade de Pieuvre Marinée à l'Algue Luminescente,Entrée rafraîchissante et élégante des côtes. L'algue apporte une touche iodée unique.,,Entrée,Côtière,Moyen,14,45 minutes,1 heure,1h45,4,,27.8,"Grande casserole, saladier",,+1 Intelligence pendant 4 heures (oméga-3 des algues),4 heures,,,,,,Fraîcheur iodée avec la tendresse de la pieuvre et l'acidité du citron,Salade colorée avec une subtile luminescence verte de l'algue,Parfum de mer et d'agrumes,Pieuvre tendre et légèrement croquante,Servir frais avec du pain grillé,"Vin blanc sec, ouzo",Se conserve 3 jours mariné,3 jours,12,Spécialité des villages de pêcheurs,,,Le bouchon de liège aide à attendrir la pieuvre,,Brille légèrement dans l'obscurité grâce aux algues,68e29430df16a667f1f97043,2025-10-05T15:52:16.099000,2025-10-05T15:52:16.099000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Rillettes de Cochon Noir aux Herbes,Préparation charcutière onctueuse parfaite pour les voyages. Se conserve longtemps.,,Conserve,Paysanne,Facile,10,30 minutes,4 heures,4h30,12,,12.6,"Grande cocotte, pots en grès",,"Très nourrissant, +2 points de vie temporaires par portion",Instantané,,,,,,Riche et savoureux avec des notes herbacées,Préparation brune foncée dans des pots sous une couche de graisse,Parfum de charcuterie aux herbes,Texture effilochée et grasse qui fond sur le pain,Tartiner sur du pain grillé avec cornichons,"Pain de campagne, vin rouge léger","Sous graisse au frais, plusieurs mois",6 mois sous graisse,2,Provision essentielle pour les voyages,,,La couche de graisse protège de l'air et conserve,,Idéal pour les aventuriers,68e29430df16a667f1f97044,2025-10-05T15:52:16.099000,2025-10-05T15:52:16.099000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Bisque de Crabe Géant,Soupe crémeuse luxueuse. Le summum de la cuisine des crustacés.,,Soupe,Raffinée,Difficile,18,1 heure,1h30,2h30,6,,52.9,"Grande marmite, mixeur, tamis fin",,+1 Charisme pendant 6 heures (plat si raffiné qu'il rend confiant),6 heures,,,,,,Velouté riche et crémeux avec une saveur concentrée de crustacés,Soupe orange-corail crémeuse avec morceaux de chair de crabe,Parfum intense de fruits de mer et de crème,Velouté parfaitement lisse et onctueux,Servir très chaud dans des bols préchauffés avec croûtons,"Vin blanc sec et élégant, pain grillé à l'ail",Se conserve 2 jours au frais,2 jours,18,Plat de fête dans les villes portuaires,,,Bien filtrer pour une texture parfaitement lisse,,Le flambrage au cognac est crucial pour la profondeur de saveur,68e29430df16a667f1f97045,2025-10-05T15:52:16.099000,2025-10-05T15:52:16.099000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Magret de Canard Laqué au Miel et Mousse de Mémoire,Plat sophistiqué qui stimule l'esprit tout en régalant le palais.,,Plat principal,Raffinée,Difficile,17,30 minutes,25 minutes,55 minutes,4,,42.5,"Poêle, pinceau, four",,"Avantage aux jets d'Intelligence pendant 6 heures, peut se souvenir parfaitement d'une scène vécue",6 heures,,,,,,Canard juteux avec un glaçage sucré-salé et notes herbacées de la mousse,Magret brillant laqué avec croûte dorée et poudre verte,Parfum envoûtant de miel caramélisé et d'épices,"Peau croustillante, chair rosée et tendre",Trancher en éventail et servir avec légumes sautés,"Vin rouge fruité, purée de patate douce",Consommer immédiatement pour texture optimale,1 jour,18,Plat des érudits et sages avant les examens,,,La cuisson rosée est cruciale pour la tendreté,,Les effets de mémoire sont remarquables,68e29430df16a667f1f97046,2025-10-05T15:52:16.099000,2025-10-05T15:52:16.099000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
Ragoût de Sanglier aux Champignons Lumineux,Un ragoût copieux et savoureux qui brille doucement dans le noir. Plat favori des mineurs nains.,,Plat principal,Naine,Facile,10,30 minutes,3 heures,3h30,6,,24,"Grande marmite en fonte, couteau de boucher",,Confère une vision nocturne faible (6 mètres) pendant 4 heures,4 heures,,,,,,Riche et savoureux avec une touche umami des champignons. La viande est fondante.,Ragoût brun foncé avec une lueur bleutée subtile provenant des champignons,Arôme robuste de gibier mêlé aux notes terreuses des champignons,"Viande tendre qui se défait, sauce onctueuse",Servir chaud dans des bols en pierre avec du pain de campagne,"Bière brune naine, pain noir aux graines",Se conserve 5 jours au frais,5 jours,6,Plat traditionnel des mineurs nains qui travaillent dans l'obscurité,Créé par les nains de Mithral Hall il y a des siècles,,Ne pas cuire les champignons trop longtemps pour préserver leurs propriétés luminescentes,,La lueur des champignons persiste dans le plat fini,68e29304062c229af79b9c71,2025-10-05T15:47:16.370000,2025-10-05T15:47:16.370000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
